id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1399793812550176769,1399793812550176769,2021-06-01 21:23:46 +03,2021-06-01,21:23:46,+0300,4774500346,merryy05,Meryem.,,farkında mısınız ne zamanlar yasaklar kalksa hava da yağmur çamur. hiç yağmayan yere bile yağmur yağmış 🥸,tr,[],[],[],0,0,0,[],[],https://twitter.com/merryy05/status/1399793812550176769,False,,0,,,,,,,,[],,,,
1399793474694754307,1399793474694754307,2021-06-01 21:22:25 +03,2021-06-01,21:22:25,+0300,1169497084430618625,turguttuba_,Tuba,,Kendi zihniyetini millete dayatamazsın! İnsanların yaşama tarzına müdahale edemezsin. Seninkine artık ideoloji diyemiyorum. İnsanın ideolojisinin olması için beynini kullanması gerekir. #22YasağıKaldırılsın #yasaklar #kısıtlama #sanatsusmasın #gözünüyumma,tr,[],[],[],0,0,0,"['22yasağıkaldırılsın', 'yasaklar', 'kısıtlama', 'sanatsusmasın', 'gözünüyumma']",[],https://twitter.com/TurgutTuba_/status/1399793474694754307,False,,0,,,,,,,,[],,,,
1399793437092761603,1399793437092761603,2021-06-01 21:22:16 +03,2021-06-01,21:22:16,+0300,545805497,onurbayraktar61,Onur Bayraktar,,Açıklanan yasaklar evlenin ama gerdeğe girmeyin gibi bişe olmamışmı sizcede,tr,[],[],[],0,0,0,[],[],https://twitter.com/OnurBayraktar61/status/1399793437092761603,False,,0,,,,,,,,[],,,,
1399793435519946752,1399793435519946752,2021-06-01 21:22:16 +03,2021-06-01,21:22:16,+0300,1064960733060960258,begumgorgun,Begolis,,"İçki içenlere, mayo giyenlere, sanat severlere, eğlenmeyi bilenlere kısaca özgürlükçü , Cumhuriyetçi insanlara tahammülleri yok ! Covid bahane yasaklar şahane...  #AKPyeMHPyeOYyok #sahnenesahipcık #1Hazirandanİtibaren  #gozunuyumma",tr,[],[],[],0,0,0,"['akpyemhpyeoyyok', 'sahnenesahipcık', '1hazirandani̇tibaren', 'gozunuyumma']",[],https://twitter.com/begumgorgun/status/1399793435519946752,False,,0,,,,,,,,[],,,,
1399793427215273993,1399793427215273993,2021-06-01 21:22:14 +03,2021-06-01,21:22:14,+0300,1151604947244539911,mkocanci,Mkoc,,"Acaba hangi şarkıcılar, sanatçılar bu dönemde saraydan destek aldı? Bazıları müzisyenlerin pandemi mapusluğuna ses etmiyor da .. Bizde mi yoklama alsak?  Burda mısın Yavuz? Burda mısın Baba Orhan?  #yasaklar  #mueziksusmasın",tr,[],[],[],0,0,0,"['yasaklar', 'mueziksusmasın']",[],https://twitter.com/mkocanci/status/1399793427215273993,False,,0,,,,,,,,[],,,,
1399793352606879754,1399793352606879754,2021-06-01 21:21:56 +03,2021-06-01,21:21:56,+0300,2475086258,kultiginstark,Kültigin Stark,,Yasaklar bitti ve kurgu tweet yazmak için mekandaki yerimi aldım  https://t.co/gHV0Xhr504,tr,[],[],['https://pbs.twimg.com/media/E20QoRcXEAAKSAe.jpg'],0,0,4,[],[],https://twitter.com/KultiginStark/status/1399793352606879754,False,,1,https://pbs.twimg.com/media/E20QoRcXEAAKSAe.jpg,,,,,,,[],,,,
1399793194062262273,1399791836064014337,2021-06-01 21:21:19 +03,2021-06-01,21:21:19,+0300,1244964140965380096,cem_kalman,Cem Kalman,,@solmazgulgoz Kış olunca da yasaklar oluyor. Baharlar en güzeli galiba 🍀,tr,[],[],[],0,0,0,[],[],https://twitter.com/cem_kalman/status/1399793194062262273,False,,0,,,,,,,,"[{'screen_name': 'solmazgulgoz', 'name': 'ULRİKE♀', 'id': '601004909'}]",,,,
1399793179436670983,1399789649829183490,2021-06-01 21:21:15 +03,2021-06-01,21:21:15,+0300,1000779197873258501,h_ciloglu,Hüseyin Çiloğlu,,O tarihten sonra Ana Akım Medya Prime Time (akşam) programlarıma yasaklar geldi.   Gece gündüz program için çağıran Haber kanalları aramaz oldular.   O günden sonra meydan Bilim İnsanı görünümlü Korku Tacirlerine kaldı.,tr,[],[],[],1,2,17,[],[],https://twitter.com/H_Ciloglu/status/1399793179436670983,False,,0,,,,,,,,[],,,,
1399793076193873926,1399793076193873926,2021-06-01 21:20:50 +03,2021-06-01,21:20:50,+0300,3000311205,passionisss,👉 passionis,,"*22:00’den sonra sokağa çıkıyormuşsunuz, ÇIKARTMAM *Eğlenmeye gidiyormuşsunuz,GÖNDERMEM *Haftasonu alkol alıyormuşsunuz,ALDIRTMAM  Ülkeyi Mahmut Hoca yönetiyor sanki 🙈🙈🙈😁 #yasaklar",tr,[],[],[],0,0,5,['yasaklar'],[],https://twitter.com/passionisss/status/1399793076193873926,False,,0,,,,,,,,[],,,,
1399792936393576456,1399792936393576456,2021-06-01 21:20:17 +03,2021-06-01,21:20:17,+0300,1314142964172697601,iammeryyy,Meryem🦄,,"Yasaklar esnedi, kafeler restoranlar açıldı, düğün nikâh serbest, okullar açıldı, yine değişmeyen tek şey benim hayatım",tr,[],[],[],0,0,3,[],[],https://twitter.com/iammeryyy/status/1399792936393576456,False,,0,,,,,,,,[],,,,
